level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	156	310	467	83	-1	
3	1	1	1	0	0	156	310	467	83	-1	
4	1	1	1	1	0	156	310	467	83	-1	
5	1	1	1	1	1	156	313	99	58	90	Atti
5	1	1	1	1	2	284	310	339	83	96	Parlamentari
2	1	2	0	0	0	345	388	406	8	-1	
3	1	2	1	0	0	345	388	406	8	-1	
4	1	2	1	1	0	345	388	406	8	-1	
5	1	2	1	1	1	345	388	406	8	95	 
2	1	3	0	0	0	96	573	1260	3721	-1	
3	1	3	1	0	0	120	573	1236	680	-1	
4	1	3	1	1	0	120	573	1236	61	-1	
5	1	3	1	1	1	120	591	104	30	94	vero
5	1	3	1	1	2	256	578	80	43	96	che
5	1	3	1	1	3	368	579	75	55	93	qui
5	1	3	1	1	4	467	575	222	58	89	adempio;
5	1	3	1	1	5	709	577	131	41	81	eredo
5	1	3	1	1	6	864	575	80	43	96	che
5	1	3	1	1	7	967	575	206	43	96	ciascuno
5	1	3	1	1	8	1197	574	46	43	96	di
5	1	3	1	1	9	1267	573	89	54	95	noi,
4	1	3	1	2	0	120	641	1233	58	-1	
5	1	3	1	2	1	120	647	137	43	96	anche
5	1	3	1	2	2	291	661	25	28	93	a
5	1	3	1	2	3	348	653	115	36	96	costo
5	1	3	1	2	4	499	645	42	42	93	di
5	1	3	1	2	5	585	645	106	54	91	odii,
5	1	3	1	2	6	733	645	139	42	96	anche
5	1	3	1	2	7	916	659	25	27	96	a
5	1	3	1	2	8	983	650	117	36	96	costo
5	1	3	1	2	9	1137	642	44	43	96	di
5	1	3	1	2	10	1216	643	67	40	94	ire
5	1	3	1	2	11	1312	641	41	41	96	di
4	1	3	1	3	0	121	709	1235	64	-1	
5	1	3	1	3	1	121	715	210	58	96	qualsiasi
5	1	3	1	3	2	375	714	156	55	96	specie,
5	1	3	1	3	3	572	713	109	42	91	deve
5	1	3	1	3	4	724	715	219	54	91	compiere
5	1	3	1	3	5	985	711	304	43	96	francamente
5	1	3	1	3	6	1324	709	32	41	71	il
4	1	3	1	4	0	120	779	1233	60	-1	
5	1	3	1	4	1	120	785	177	54	96	proprio
5	1	3	1	4	2	341	782	175	43	95	dovere.
5	1	3	1	4	3	560	782	47	41	96	Io
5	1	3	1	4	4	647	782	128	43	96	credo
5	1	3	1	4	5	819	782	78	41	92	che
5	1	3	1	4	6	943	781	201	42	96	ciascuno
5	1	3	1	4	7	1188	779	45	43	89	di
5	1	3	1	4	8	1281	779	72	43	89	noi
4	1	3	1	5	0	124	847	1231	59	-1	
5	1	3	1	5	1	124	851	143	43	96	debba
5	1	3	1	5	2	297	851	95	43	96	dire
5	1	3	1	5	3	409	851	264	42	96	seriamente
5	1	3	1	5	4	696	850	40	43	96	al
5	1	3	1	5	5	761	850	230	43	96	Governo:
5	1	3	1	5	6	1016	865	45	28	97	se
5	1	3	1	5	7	1085	854	150	52	93	queste
5	1	3	1	5	8	1259	847	96	43	92	isti-
4	1	3	1	6	0	121	915	1232	60	-1	
5	1	3	1	6	1	121	921	183	53	92	tuzioni,
5	1	3	1	6	2	336	919	79	43	96	che
5	1	3	1	6	3	447	919	145	43	92	hanno
5	1	3	1	6	4	625	918	258	57	90	pertarbato
5	1	3	1	6	5	907	919	30	42	96	il
5	1	3	1	6	6	971	919	166	42	74	credito
5	1	3	1	6	7	1172	915	181	46	96	italiano
4	1	3	1	7	0	124	989	1231	57	-1	
5	1	3	1	7	1	124	989	185	44	95	durante
5	1	3	1	7	2	343	1003	57	28	96	un
5	1	3	1	7	3	433	989	180	57	96	periodo
5	1	3	1	7	4	648	989	223	57	96	qualsiasi,
5	1	3	1	7	5	896	990	36	41	96	si
5	1	3	1	7	6	967	994	338	49	96	presenteranno
5	1	3	1	7	7	1329	1001	26	28	95	a
4	1	3	1	8	0	121	1055	1232	59	-1	
5	1	3	1	8	1	121	1059	74	42	95	voi
5	1	3	1	8	2	232	1073	79	41	96	per
5	1	3	1	8	3	343	1057	200	42	96	chiedere
5	1	3	1	8	4	576	1058	268	41	96	concessioni
5	1	3	1	8	5	876	1057	81	42	96	che
5	1	3	1	8	6	997	1057	158	42	96	furono
5	1	3	1	8	7	1187	1055	166	43	96	sancite
4	1	3	1	9	0	123	1125	1228	56	-1	
5	1	3	1	9	1	123	1127	72	43	96	dal
5	1	3	1	9	2	229	1127	204	43	94	Governo
5	1	3	1	9	3	467	1142	22	27	95	e
5	1	3	1	9	4	533	1126	71	43	96	dal
5	1	3	1	9	5	641	1127	280	43	95	Parlamento
5	1	3	1	9	6	960	1126	197	55	96	italiano,
5	1	3	1	9	7	1191	1125	160	42	93	dovete
4	1	3	1	10	0	121	1194	564	59	-1	
5	1	3	1	10	1	121	1195	283	55	90	respingerle.
5	1	3	1	10	2	440	1229	20	22	92	,
5	1	3	1	10	3	500	1194	185	59	67	(Bene!)
3	1	3	2	0	0	121	1261	1230	686	-1	
4	1	3	2	1	0	185	1261	1166	60	-1	
5	1	3	2	1	1	185	1265	20	24	86	“
5	1	3	2	1	2	227	1265	165	41	96	Perchè
5	1	3	2	1	3	425	1278	171	41	96	ognuno
5	1	3	2	1	4	617	1265	44	41	96	di
5	1	3	2	1	5	681	1265	86	52	95	noi,
5	1	3	2	1	6	788	1263	140	43	96	finchè
5	1	3	2	1	7	961	1265	76	56	96	qui
5	1	3	2	1	8	1073	1267	118	38	96	resta
5	1	3	2	1	9	1239	1261	112	44	96	deve
4	1	3	2	2	0	124	1331	1227	59	-1	
5	1	3	2	2	1	124	1333	95	42	96	fare
5	1	3	2	2	2	252	1333	31	41	96	il
5	1	3	2	2	3	316	1334	176	56	96	proprio
