level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4672	-1	
2	1	1	0	0	0	404	402	491	50	-1	
3	1	1	1	0	0	404	402	491	50	-1	
4	1	1	1	1	0	404	402	491	50	-1	
5	1	1	1	1	1	404	406	103	46	96	Atti
5	1	1	1	1	2	529	402	366	50	96	Parlamentari
2	1	2	0	0	0	1499	406	298	44	-1	
3	1	2	1	0	0	1499	406	298	44	-1	
4	1	2	1	1	0	1499	406	298	44	-1	
5	1	2	1	1	1	1499	430	58	7	90	—
5	1	2	1	1	2	1583	406	128	44	92	4198
5	1	2	1	1	3	1732	429	65	5	92	—
2	1	3	0	0	0	2309	397	583	61	-1	
3	1	3	1	0	0	2309	397	583	61	-1	
4	1	3	1	1	0	2309	397	583	61	-1	
5	1	3	1	1	1	2309	404	211	44	96	Camera
5	1	3	1	1	2	2544	397	84	49	96	dei
5	1	3	1	1	3	2651	400	241	58	92	Deputati
2	1	4	0	0	0	408	473	2487	11	-1	
3	1	4	1	0	0	408	473	2487	11	-1	
4	1	4	1	1	0	408	473	2487	11	-1	
5	1	4	1	1	1	408	473	2487	11	95	 
2	1	5	0	0	0	408	485	2487	11	-1	
3	1	5	1	0	0	408	485	2487	11	-1	
4	1	5	1	1	0	408	485	2487	11	-1	
5	1	5	1	1	1	408	485	2487	11	95	 
2	1	6	0	0	0	836	541	1623	49	-1	
3	1	6	1	0	0	836	541	1623	49	-1	
4	1	6	1	1	0	836	541	1623	49	-1	
5	1	6	1	1	1	836	556	33	33	90	X
5	1	6	1	1	2	891	554	338	36	93	LEGISLATURA
5	1	6	1	1	3	1245	573	26	4	77	-
5	1	6	1	1	4	1289	553	315	36	93	DISCUSSIONI
5	1	6	1	1	5	1621	573	26	4	22	—-
5	1	6	1	1	6	1664	553	193	36	96	SEDUTA
5	1	6	1	1	7	1875	552	97	34	96	DEL
5	1	6	1	1	8	1992	544	63	44	96	22
5	1	6	1	1	9	2080	550	231	36	96	OTTOBRE
5	1	6	1	1	10	2335	541	124	45	96	1987
2	1	7	0	0	0	408	636	2487	12	-1	
3	1	7	1	0	0	408	636	2487	12	-1	
4	1	7	1	1	0	408	636	2487	12	-1	
5	1	7	1	1	1	408	636	2487	12	95	 
2	1	8	0	0	0	409	733	1214	1418	-1	
3	1	8	1	0	0	409	733	1214	1418	-1	
4	1	8	1	1	0	409	733	1207	59	-1	
5	1	8	1	1	1	409	750	100	30	96	uno
5	1	8	1	1	2	577	734	128	58	93	degli
