level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3307	4677	-1	
2	1	1	0	0	0	355	193	588	57	-1	
3	1	1	1	0	0	355	193	588	57	-1	
4	1	1	1	1	0	355	193	588	57	-1	
5	1	1	1	1	1	355	202	118	48	95	Atti
5	1	1	1	1	2	506	193	394	54	91	Parlamentari
5	1	1	1	1	3	936	241	7	9	55	.
2	1	2	0	0	0	1562	177	320	48	-1	
3	1	2	1	0	0	1562	177	320	48	-1	
4	1	2	1	1	0	1562	177	320	48	-1	
5	1	2	1	1	1	1562	206	62	9	86	—
5	1	2	1	1	2	1661	177	129	48	42	172
5	1	2	1	1	3	1821	201	61	9	64	—
2	1	3	0	0	0	364	246	2731	49	-1	
3	1	3	1	0	0	364	246	2731	49	-1	
4	1	3	1	1	0	364	246	2731	49	-1	
5	1	3	1	1	1	364	246	2731	49	95	 
2	1	4	0	0	0	2614	278	484	14	-1	
3	1	4	1	0	0	2614	278	484	14	-1	
4	1	4	1	1	0	2614	278	484	14	-1	
5	1	4	1	1	1	2614	283	14	9	50	=
5	1	4	1	1	2	3038	278	60	14	25	RA
2	1	5	0	0	0	704	321	2110	72	-1	
3	1	5	1	0	0	704	321	2110	72	-1	
4	1	5	1	1	0	704	321	2110	72	-1	
5	1	5	1	1	1	704	352	239	41	49	sessione
5	1	5	1	1	2	978	353	101	34	81	DIL
5	1	5	1	1	3	1118	336	291	50	36	1882-83-84
5	1	5	1	1	4	1444	360	62	7	90	—
5	1	5	1	1	5	1539	340	315	39	93	DISCUSSIONI
5	1	5	1	1	6	1891	354	57	5	92	—
5	1	5	1	1	7	1983	338	237	34	95	TORNATA
5	1	5	1	1	8	2256	335	98	34	93	DEL
5	1	5	1	1	9	2390	323	29	46	93	3
5	1	5	1	1	10	2454	332	198	36	41	maGGIO
5	1	5	1	1	11	2691	321	123	45	0	Î384
2	1	6	0	0	0	336	415	2576	36	-1	
3	1	6	1	0	0	336	415	2576	36	-1	
4	1	6	1	1	0	336	415	2576	36	-1	
5	1	6	1	1	1	336	415	2576	36	95	 
2	1	7	0	0	0	335	426	2556	38	-1	
3	1	7	1	0	0	335	426	2556	38	-1	
4	1	7	1	1	0	335	426	2556	38	-1	
5	1	7	1	1	1	335	426	2556	38	95	 
2	1	8	0	0	0	307	532	1399	2776	-1	
3	1	8	1	0	0	319	532	1366	153	-1	
4	1	8	1	1	0	320	532	1365	71	-1	
5	1	8	1	1	1	320	551	114	47	96	vole
5	1	8	1	1	2	469	549	240	47	96	Senatore
5	1	8	1	1	3	743	542	124	61	96	Zini,
5	1	8	1	1	4	908	541	35	48	96	il
5	1	8	1	1	5	969	543	184	47	96	Senato
5	1	8	1	1	6	1193	532	364	65	96	comprenderà
5	1	8	1	1	7	1592	533	93	66	96	che
4	1	8	1	2	0	319	613	1361	72	-1	
5	1	8	1	2	1	319	627	48	47	96	io
5	1	8	1	2	2	404	640	100	33	96	non
5	1	8	1	2	3	538	623	162	62	93	potrei
5	1	8	1	2	4	739	619	262	49	92	limitarmi
5	1	8	1	2	5	1039	618	63	47	96	ad
5	1	8	1	2	6	1137	631	69	33	96	un
5	1	8	1	2	7	1241	615	229	48	96	discorso
5	1	8	1	2	8	1509	613	171	46	92	breve.
3	1	8	2	0	0	319	688	1366	140	-1	
4	1	8	2	1	0	381	688	1304	70	-1	
5	1	8	2	1	1	381	706	53	44	96	Io
5	1	8	2	1	2	471	714	121	33	96	sono
