level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	299	293	450	46	-1	
3	1	1	1	0	0	299	293	450	46	-1	
4	1	1	1	1	0	299	293	450	46	-1	
5	1	1	1	1	1	299	296	86	43	93	Atti
5	1	1	1	1	2	417	293	332	44	85	Parlameniari
2	1	2	0	0	0	1324	292	295	39	-1	
3	1	2	1	0	0	1324	292	295	39	-1	
4	1	2	1	1	0	1324	292	295	39	-1	
5	1	2	1	1	1	1324	315	55	5	92	—
5	1	2	1	1	2	1416	292	112	39	76	1890
5	1	2	1	1	3	1561	316	58	7	92	—
2	1	3	0	0	0	2100	295	555	52	-1	
3	1	3	1	0	0	2100	295	555	52	-1	
4	1	3	1	1	0	2100	295	555	52	-1	
5	1	3	1	1	1	2100	295	188	40	96	Camera
5	1	3	1	1	2	2327	295	70	41	95	dei
5	1	3	1	1	3	2440	295	215	52	95	Deputati
2	1	4	0	0	0	236	355	2473	16	-1	
3	1	4	1	0	0	236	355	2473	16	-1	
4	1	4	1	1	0	236	355	2473	16	-1	
5	1	4	1	1	1	236	355	2473	16	95	 
2	1	5	0	0	0	236	355	2473	16	-1	
3	1	5	1	0	0	236	355	2473	16	-1	
4	1	5	1	1	0	236	355	2473	16	-1	
5	1	5	1	1	1	236	355	2473	16	95	 
2	1	6	0	0	0	236	355	2473	16	-1	
3	1	6	1	0	0	236	355	2473	16	-1	
4	1	6	1	1	0	236	355	2473	16	-1	
5	1	6	1	1	1	236	355	2473	16	95	 
2	1	7	0	0	0	236	370	1583	11	-1	
3	1	7	1	0	0	236	370	1583	11	-1	
4	1	7	1	1	0	236	370	1583	11	-1	
5	1	7	1	1	1	236	370	1583	11	95	 
2	1	8	0	0	0	525	372	1294	8	-1	
3	1	8	1	0	0	525	372	1294	8	-1	
4	1	8	1	1	0	525	372	1294	8	-1	
5	1	8	1	1	1	525	372	1294	8	95	 
2	1	9	0	0	0	749	395	517	64	-1	
3	1	9	1	0	0	749	395	517	64	-1	
4	1	9	1	1	0	749	395	517	64	-1	
5	1	9	1	1	1	749	404	113	55	42	NEI
5	1	9	1	1	2	912	416	27	5	26	-
5	1	9	1	1	3	959	395	54	64	32	da
5	1	9	1	1	4	1051	403	215	56	92	SESSIONE
2	1	10	0	0	0	404	403	323	56	-1	
3	1	10	1	0	0	404	403	323	56	-1	
4	1	10	1	1	0	404	403	323	56	-1	
5	1	10	1	1	1	404	404	48	28	49	Li
5	1	10	1	1	2	465	403	114	30	83	GISL.
5	1	10	1	1	3	580	404	112	55	6	ATUR
5	1	10	1	1	4	704	403	23	56	85	À
2	1	11	0	0	0	221	536	1188	487	-1	
3	1	11	1	0	0	224	536	1185	115	-1	
4	1	11	1	1	0	224	536	1185	52	-1	
5	1	11	1	1	1	224	541	100	39	96	tale
5	1	11	1	1	2	357	540	86	39	96	che
5	1	11	1	1	3	476	551	96	26	96	non
5	1	11	1	1	4	596	551	204	37	96	possono
5	1	11	1	1	5	833	539	83	48	96	più
