level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	372	287	459	47	-1	
3	1	1	1	0	0	372	287	459	47	-1	
4	1	1	1	1	0	372	287	459	47	-1	
5	1	1	1	1	1	372	287	100	46	96	Atti
5	1	1	1	1	2	500	289	331	45	96	Parlamentari
2	1	2	0	0	0	339	340	861	19	-1	
3	1	2	1	0	0	339	340	861	19	-1	
4	1	2	1	1	0	339	340	861	19	-1	
5	1	2	1	1	1	339	340	861	19	95	 
2	1	3	0	0	0	339	356	641	10	-1	
3	1	3	1	0	0	339	356	641	10	-1	
4	1	3	1	1	0	339	356	641	10	-1	
5	1	3	1	1	1	339	356	641	10	95	 
2	1	4	0	0	0	968	338	184	28	-1	
3	1	4	1	0	0	968	338	184	28	-1	
4	1	4	1	1	0	968	338	184	28	-1	
5	1	4	1	1	1	968	338	40	28	0	coso
5	1	4	1	1	2	1096	355	56	7	0	TTI
2	1	5	0	0	0	448	383	840	42	-1	
3	1	5	1	0	0	448	383	840	42	-1	
4	1	5	1	1	0	448	383	840	42	-1	
5	1	5	1	1	1	448	395	321	30	96	LEGISLATURA
5	1	5	1	1	2	797	395	83	26	90	XXI
5	1	5	1	1	3	908	409	57	4	92	—
5	1	5	1	1	4	995	383	42	39	53	1*
5	1	5	1	1	5	1069	394	219	28	23	SESSIONE
2	1	6	0	0	0	1315	409	57	5	-1	
3	1	6	1	0	0	1315	409	57	5	-1	
4	1	6	1	1	0	1315	409	57	5	-1	
5	1	6	1	1	1	1315	409	57	5	95	 
2	1	7	0	0	0	303	537	1250	3185	-1	
3	1	7	1	0	0	303	537	1242	132	-1	
4	1	7	1	1	0	303	537	1242	62	-1	
5	1	7	1	1	1	303	543	368	43	93	consentiranno
5	1	7	1	1	2	715	558	129	28	91	meco
5	1	7	1	1	3	879	543	84	43	96	che
5	1	7	1	1	4	987	547	168	52	96	questa
5	1	7	1	1	5	1189	545	22	40	96	è
5	1	7	1	1	6	1245	558	95	28	96	una
5	1	7	1	1	7	1371	537	174	49	77	teoria.
