level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3306	4678	-1	
2	1	1	0	0	0	1561	126	268	113	-1	
3	1	1	1	0	0	1561	126	268	113	-1	
4	1	1	1	1	0	1561	126	268	113	-1	
5	1	1	1	1	1	1644	126	185	85	44	2
2	1	2	0	0	0	368	240	2636	25	-1	
3	1	2	1	0	0	368	240	2636	25	-1	
4	1	2	1	1	0	368	240	2636	25	-1	
5	1	2	1	1	1	368	240	2636	25	95	 
2	1	3	0	0	0	369	263	2634	10	-1	
3	1	3	1	0	0	369	263	2634	10	-1	
4	1	3	1	1	0	369	263	2634	10	-1	
5	1	3	1	1	1	369	263	2634	10	95	 
2	1	4	0	0	0	1012	286	1360	59	-1	
3	1	4	1	0	0	1012	286	1360	59	-1	
4	1	4	1	1	0	1012	286	1360	59	-1	
5	1	4	1	1	1	1012	311	180	34	96	CAMERA
5	1	4	1	1	2	1228	310	73	33	96	DEI
5	1	4	1	1	3	1339	307	224	35	92	DEPUTATI
5	1	4	1	1	4	1597	321	68	8	92	—
5	1	4	1	1	5	1700	306	140	33	96	PRIMA
5	1	4	1	1	6	1875	307	206	34	96	SESSIONE
5	1	4	1	1	7	2117	307	84	34	96	DEL
5	1	4	1	1	8	2240	286	132	55	96	1849
2	1	5	0	0	0	363	374	2637	8	-1	
3	1	5	1	0	0	363	374	2637	8	-1	
4	1	5	1	1	0	363	374	2637	8	-1	
5	1	5	1	1	1	363	374	2637	8	95	 
2	1	6	0	0	0	332	430	1319	2845	-1	
3	1	6	1	0	0	332	430	1316	291	-1	
4	1	6	1	1	0	359	430	1286	56	-1	
5	1	6	1	1	1	359	453	21	25	96	o
5	1	6	1	1	2	397	451	58	34	96	re,
5	1	6	1	1	3	476	451	21	26	79	0
5	1	6	1	1	4	517	439	143	47	96	popoli,
5	1	6	1	1	5	680	449	21	25	95	o
5	1	6	1	1	6	721	439	158	46	93	potenze
5	1	6	1	1	7	912	434	224	44	56	mediatrici,
5	1	6	1	1	8	1163	433	113	37	96	credo
5	1	6	1	1	9	1309	433	68	34	96	che
5	1	6	1	1	10	1409	433	35	34	82	la
5	1	6	1	1	11	1477	430	74	37	93	mia
5	1	6	1	1	12	1579	441	66	36	92	ag-
4	1	6	1	2	0	361	490	1286	57	-1	
5	1	6	1	2	1	361	501	128	46	96	giunta
5	1	6	1	2	2	509	509	74	26	96	non
5	1	6	1	2	3	603	509	109	37	96	possa
5	1	6	1	2	4	729	497	186	48	96	produrre
5	1	6	1	2	5	933	495	127	47	93	quella
5	1	6	1	2	6	1073	493	138	37	88	caltiva
5	1	6	1	2	7	1228	491	249	47	97	impressione
5	1	6	1	2	8	1495	490	69	37	96	che
5	1	6	1	2	9	1577	501	70	25	96	con
4	1	6	1	3	0	361	550	1286	56	-1	
5	1	6	1	3	1	361	561	104	36	96	tanta
5	1	6	1	3	2	485	559	224	47	96	previdenza
5	1	6	1	3	3	729	557	38	37	93	fu
5	1	6	1	3	4	787	557	202	37	92	accennata
5	1	6	1	3	5	1012	555	61	36	96	dal
5	1	6	1	3	6	1093	554	128	36	96	nostro
5	1	6	1	3	7	1241	551	204	38	96	onorevole
5	1	6	1	3	8	1463	551	142	47	96	collega
5	1	6	1	3	9	1620	550	27	36	96	il
4	1	6	1	4	0	361	607	1287	59	-1	
5	1	6	1	4	1	361	618	128	48	93	signor
5	1	6	1	4	2	519	618	196	44	92	Rosellini;
5	1	6	1	4	3	735	617	132	48	96	quindi
5	1	6	1	4	4	881	615	27	36	96	il
5	1	6	1	4	5	924	623	67	27	95	suo
5	1	6	1	4	6	1011	611	285	50	96	ragionamento
5	1	6	1	4	7	1316	619	129	27	95	manca
5	1	6	1	4	8	1464	609	127	36	96	affatto
5	1	6	1	4	9	1611	607	37	38	96	di
4	1	6	1	5	0	332	677	285	44	-1	
5	1	6	1	5	1	332	718	3	3	91	.
5	1	6	1	5	2	361	677	256	37	96	fondamento.
3	1	6	2	0	0	360	726	1287	225	-1	
4	1	6	2	1	0	412	726	1235	52	-1	
5	1	6	2	1	1	412	746	248	28	0	caserma.
5	1	6	2	1	2	677	737	79	34	96	Non
5	1	6	2	1	3	772	731	20	39	96	è
5	1	6	2	1	4	811	734	104	35	81	certo
5	1	6	2	1	5	944	742	67	36	96	per
5	1	6	2	1	6	1039	730	270	37	96	dimenticanza
5	1	6	2	1	7	1327	729	68	36	96	che
5	1	6	2	1	8	1413	729	35	36	89	ia
5	1	6	2	1	9	1464	726	183	37	92	Commis-
4	1	6	2	2	0	363	786	1284	53	-1	
5	1	6	2	2	1	363	797	105	36	93	sione
5	1	6	2	2	2	488	793	173	40	93	tralasciò
5	1	6	2	2	3	680	795	60	36	96	nel
5	1	6	2	2	4	760	794	175	45	93	progetto
5	1	6	2	2	5	965	790	218	37	92	d’indirizzo
5	1	6	2	2	6	1203	789	36	36	96	di
5	1	6	2	2	7	1260	789	148	46	96	parlare
5	1	6	2	2	8	1427	787	37	36	96	di
5	1	6	2	2	9	1483	786	124	36	96	Sicilia
5	1	6	2	2	10	1627	795	20	27	96	e
4	1	6	2	3	0	361	846	1286	56	-1	
5	1	6	2	3	1	361	855	36	36	96	di
5	1	6	2	3	2	417	855	147	47	96	Napoli,
5	1	6	2	3	3	585	865	59	26	96	ma
5	1	6	2	3	4	664	853	31	37	96	sì
5	1	6	2	3	5	713	862	68	37	96	per
5	1	6	2	3	6	800	853	35	34	96	la
5	1	6	2	3	7	855	849	178	40	96	difficoltà
5	1	6	2	3	8	1056	850	37	36	94	in
5	1	6	2	3	9	1113	850	60	36	96	cui
5	1	6	2	3	10	1193	849	31	36	96	si
5	1	6	2	3	11	1244	850	153	36	96	trovava
5	1	6	2	3	12	1416	847	37	36	96	di
5	1	6	2	3	13	1472	846	175	47	96	parlarne
4	1	6	2	4	0	360	913	451	38	-1	
5	1	6	2	4	1	360	915	39	35	95	in
5	1	6	2	4	2	417	915	111	36	96	modo
5	1	6	2	4	3	548	913	263	38	96	conveniente.
3	1	6	3	0	0	360	965	1287	114	-1	
4	1	6	3	1	0	408	965	1239	56	-1	
5	1	6	3	1	1	408	975	47	35	96	Di
5	1	6	3	1	2	472	974	129	47	91	Napoli
5	1	6	3	1	3	623	973	72	36	96	ella
5	1	6	3	1	4	715	982	73	27	96	non
5	1	6	3	1	5	807	971	136	47	96	poteva
5	1	6	3	1	6	975	969	102	37	96	certo
5	1	6	3	1	7	1099	969	160	45	96	parlare
5	1	6	3	1	8	1279	977	38	26	96	se
5	1	6	3	1	9	1336	977	75	26	96	non
5	1	6	3	1	10	1429	975	70	27	96	con
5	1	6	3	1	11	1517	965	130	46	96	parole
4	1	6	3	2	0	360	1027	851	52	-1	
5	1	6	3	2	1	360	1033	68	37	96	che
5	1	6	3	2	2	448	1043	73	26	96	non
5	1	6	3	2	3	541	1033	31	36	96	si
5	1	6	3	2	4	589	1034	186	45	96	potevano
5	1	6	3	2	5	791	1030	82	36	96	dire
5	1	6	3	2	6	892	1030	39	35	96	in
5	1	6	3	2	7	949	1039	50	26	97	un
5	1	6	3	2	8	1019	1027	192	36	96	indirizzo.
3	1	6	4	0	0	357	1083	1291	283	-1	
4	1	6	4	1	0	408	1083	1237	55	-1	
5	1	6	4	1	1	408	1094	148	44	96	Quanto
5	1	6	4	1	2	576	1093	72	36	96	alle
5	1	6	4	1	3	667	1089	174	48	96	simpatie
5	1	6	4	1	4	861	1098	67	37	96	per
5	1	6	4	1	5	948	1089	35	34	96	la
5	1	6	4	1	6	1001	1086	139	44	96	Sicilia,
5	1	6	4	1	7	1163	1095	73	27	96	non
5	1	6	4	1	8	1269	1095	64	26	96	era
5	1	6	4	1	9	1367	1085	140	36	96	dubbio
5	1	6	4	1	10	1527	1083	66	38	96	che
5	1	6	4	1	11	1612	1085	33	36	96	la
4	1	6	4	2	0	357	1143	1284	52	-1	
5	1	6	4	2	1	357	1151	286	44	96	Commissione,
5	1	6	4	2	2	663	1147	282	48	96	interpretando
5	1	6	4	2	3	965	1147	36	35	96	le
5	1	6	4	2	4	1020	1146	173	45	96	simpatie
5	1	6	4	2	5	1213	1145	99	36	96	della
5	1	6	4	2	6	1340	1146	171	49	96	Camera,
5	1	6	4	2	7	1525	1145	36	34	93	le
5	1	6	4	2	8	1580	1143	61	36	93	do-
4	1	6	4	3	0	357	1202	1288	51	-1	
5	1	6	4	3	1	357	1221	107	26	93	vesse
5	1	6	4	3	2	483	1219	228	34	95	accennare;
5	1	6	4	3	3	733	1217	56	26	96	ma
5	1	6	4	3	4	809	1217	40	25	97	se
5	1	6	4	3	5	865	1206	74	36	96	ella
5	1	6	4	3	6	957	1206	152	45	96	parlava
5	1	6	4	3	7	1143	1203	36	36	96	di
5	1	6	4	3	8	1209	1203	142	44	96	Sicilia,
5	1	6	4	3	9	1372	1203	135	38	96	veniva
5	1	6	4	3	10	1527	1202	118	37	96	anche
4	1	6	4	4	0	359	1261	1289	56	-1	
5	1	6	4	4	1	359	1279	21	27	97	a
5	1	6	4	4	2	399	1271	149	46	96	parlare
5	1	6	4	4	3	567	1269	36	36	97	di
5	1	6	4	4	4	623	1267	146	47	96	Napoli,
5	1	6	4	4	5	789	1277	20	25	96	e
5	1	6	4	4	6	829	1265	206	38	95	conveniva
5	1	6	4	4	7	1071	1263	194	36	96	nominare
5	1	6	4	4	8	1293	1263	90	36	93	tutti
5	1	6	4	4	9	1401	1262	12	36	95	i
5	1	6	4	4	10	1433	1262	126	47	93	popoli
5	1	6	4	4	11	1577	1261	71	36	93	ita-
4	1	6	4	5	0	359	1325	184	41	-1	
5	1	6	4	5	1	359	1330	104	36	54	liani.
3	1	6	5	0	0	357	1381	1291	290	-1	
4	1	6	5	1	0	411	1381	1237	56	-1	
5	1	6	5	1	1	411	1389	80	48	96	Egli
5	1	6	5	1	2	508	1386	20	39	96	è
5	1	6	5	1	3	547	1398	68	37	96	per
5	1	6	5	1	4	632	1387	133	47	96	questo
5	1	6	5	1	5	780	1386	68	36	96	che
5	1	6	5	1	6	867	1386	34	51	96	la
5	1	6	5	1	7	921	1383	270	38	96	Commissione
5	1	6	5	1	8	1209	1382	47	36	97	ha
5	1	6	5	1	9	1275	1382	156	36	96	creduto
5	1	6	5	1	10	1447	1381	36	36	96	di
5	1	6	5	1	11	1500	1381	148	46	96	parlare
4	1	6	5	2	0	359	1439	1289	55	-1	
5	1	6	5	2	1	359	1449	208	37	96	solamente
5	1	6	5	2	2	587	1447	36	35	97	in
5	1	6	5	2	3	643	1455	140	39	96	genere
5	1	6	5	2	4	803	1445	60	36	96	nel
5	1	6	5	2	5	881	1442	196	48	96	paragrafo
5	1	6	5	2	6	1099	1443	98	35	96	sesto
5	1	6	5	2	7	1229	1441	36	36	97	di
5	1	6	5	2	8	1295	1441	89	37	70	tutti
5	1	6	5	2	9	1404	1441	11	34	93	i
5	1	6	5	2	10	1435	1439	125	48	93	popoli
5	1	6	5	2	11	1579	1439	69	36	93	ita-
4	1	6	5	3	0	357	1499	1291	54	-1	
5	1	6	5	3	1	357	1507	107	46	91	liani,
5	1	6	5	3	2	483	1505	222	38	96	confidando
5	1	6	5	3	3	723	1506	68	36	96	che
5	1	6	5	3	4	811	1506	26	35	96	il
5	1	6	5	3	5	856	1506	172	35	96	Governo
5	1	6	5	3	6	1048	1503	144	36	96	volesse
5	1	6	5	3	7	1211	1511	250	38	93	promuovere
5	1	6	5	3	8	1480	1499	168	36	91	l’unione
4	1	6	5	4	0	359	1559	1289	62	-1	
5	1	6	5	4	1	359	1567	60	36	96	dei
5	1	6	5	4	2	437	1566	128	47	96	popoli
5	1	6	5	4	3	584	1566	144	37	96	italiani
5	1	6	5	4	4	748	1575	111	27	96	senza
5	1	6	5	4	5	879	1563	54	38	96	far
5	1	6	5	4	6	951	1563	100	36	95	torto
5	1	6	5	4	7	1076	1562	75	47	95	agli
5	1	6	5	4	8	1179	1562	176	36	93	interessi
5	1	6	5	4	9	1365	1561	115	60	55	gelle
5	1	6	5	4	10	1499	1559	149	39	96	diverse
4	1	6	5	5	0	361	1621	1036	54	-1	
5	1	6	5	5	1	361	1622	204	53	95	provincie.
5	1	6	5	5	2	1391	1621	6	2	5	x
3	1	6	6	0	0	357	1679	1290	170	-1	
4	1	6	6	1	0	408	1679	1239	52	-1	
5	1	6	6	1	1	408	1687	95	34	96	Ecco
5	1	6	6	1	2	521	1685	26	36	96	il
