level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3271	4659	-1	
2	1	1	0	0	0	439	448	653	40	-1	
3	1	1	1	0	0	439	448	653	40	-1	
4	1	1	1	1	0	439	448	653	40	-1	
5	1	1	1	1	1	439	450	285	36	92	ASSEMBLEA
5	1	1	1	1	2	759	448	333	40	91	COSTITUENTE
2	1	2	0	0	0	444	509	2420	29	-1	
3	1	2	1	0	0	444	509	2420	29	-1	
4	1	2	1	1	0	444	509	2420	29	-1	
5	1	2	1	1	1	444	509	2420	29	95	 
2	1	3	0	0	0	884	513	1980	24	-1	
3	1	3	1	0	0	884	513	1980	24	-1	
4	1	3	1	1	0	884	513	1980	24	-1	
5	1	3	1	1	1	884	513	1980	24	95	 
2	1	4	0	0	0	884	513	1980	24	-1	
3	1	4	1	0	0	884	513	1980	24	-1	
4	1	4	1	1	0	884	513	1980	24	-1	
5	1	4	1	1	1	884	513	1980	24	95	 
2	1	5	0	0	0	1384	515	1512	24	-1	
3	1	5	1	0	0	1384	515	1512	24	-1	
4	1	5	1	1	0	1384	515	1512	24	-1	
5	1	5	1	1	1	1384	515	1512	24	95	 
2	1	6	0	0	0	433	610	1168	110	-1	
3	1	6	1	0	0	433	610	1168	110	-1	
4	1	6	1	1	0	439	610	1161	49	-1	
5	1	6	1	1	1	439	619	41	29	95	se
5	1	6	1	1	2	503	610	65	40	96	sia
5	1	6	1	1	3	589	619	23	29	96	a
5	1	6	1	1	4	635	618	268	32	96	conoscenza
5	1	6	1	1	5	917	610	128	41	96	della
5	1	6	1	1	6	1067	611	200	40	96	reazione
5	1	6	1	1	7	1289	612	311	47	96	determinata,
4	1	6	1	2	0	433	668	1168	52	-1	
5	1	6	1	2	1	433	670	44	40	95	in
5	1	6	1	2	2	499	670	104	42	95	tutti
5	1	6	1	2	3	615	668	68	52	96	gli
5	1	6	1	2	4	707	670	217	42	96	ambienti
5	1	6	1	2	5	948	671	192	47	96	solleciti
5	1	6	1	2	6	1160	674	117	40	96	della
5	1	6	1	2	7	1301	674	159	41	96	serietà
5	1	6	1	2	8	1483	674	118	42	97	della
2	1	7	0	0	0	431	731	1209	64	-1	
3	1	7	1	0	0	431	731	1209	64	-1	
4	1	7	1	1	0	431	731	1209	64	-1	
5	1	7	1	1	1	431	732	168	50	94	scuola,
5	1	7	1	1	2	627	731	120	41	96	dalla
5	1	7	1	1	3	772	743	81	31	96	sua
5	1	7	1	1	4	877	734	214	44	96	circolare
5	1	7	1	1	5	1115	747	44	29	96	n.
5	1	7	1	1	6	1179	736	110	40	64	‘6742
